Colonial India,British East India Company,"The company gained control of large parts of South Asia and Hong Kong. At its peak, the company was the largest corporation in the world by various measures and had its own armed forces in the form of the company's three presidency armies, totalling about 260,000 soldiers, twice the size of the British Army at certain times."
Colonial India,British East India Company,Famously involved in events like the Battle of Plassey and the exploitation of Bengal.
Colonial India,British Raj,"India became a colony under British Crown rule, leading to social and economic changes."
Colonial India,British Raj,"The British Raj, was the rule of the British Crown on the Indian subcontinent, lasting from 1858 to 1947."
Colonial India,British Raj,"It is also called Crown rule in India, or Direct rule in India. The region under British control was commonly called India in contemporaneous usage and included areas directly administered by the United Kingdom, which were collectively called British India, and areas ruled by indigenous rulers, but under British paramountcy, called the princely states. The region was sometimes called the Indian Empire, though not officially."
Colonial India,British Raj,"Infrastructure like railways and telegraph lines were introduced, alongside oppressive policies."
Colonial India,Indian Independence Movement,"A movement for freedom led by figures like Mahatma Gandhi, Subhas Chandra Bose, and Jawaharlal Nehru."
Colonial India,Indian Independence Movement,"The Indian Independence Movement was a series of historic events in South Asia with the ultimate aim of ending British colonial rule. It lasted until 1947, when the Indian Independence Act 1947 was passed."
Colonial India,Indian Independence Movement,"Notable events include the Salt March, Quit India Movement, and widespread protests for independence."
Independence and Modern India,Partition of India,The Partition of India in 1947 was the change of political borders and the division of other assets that accompanied the dissolution of the British Raj in the Indian subcontinent and the creation of two independent dominions in South Asia: India and Pakistan.
Independence and Modern India,Partition of India,The Partition of India in 1947 was the change of political borders and the division of other assets that accompanied the dissolution of the British Raj in the Indian subcontinent and the creation of two independent dominions in South Asia: India and Pakistan.
Independence and Modern India,Partition of India,"India and Pakistan were created as separate states, leading to massive migrations and sectarian violence."
Independence and Modern India,Republic of India,"In 1950, India adopted a new constitution, becoming a sovereign democratic republic."
Independence and Modern India,Republic of India,"Per the London Declaration, India retained its membership of the Commonwealth, becoming the first republic within it."
Independence and Modern India,Republic of India,"Economic liberalisation, which began in the 1980s and the collaboration with Soviet Union for technical know-how, has created a large urban middle class, transformed India into one of the world's fastest-growing economies, and increased its geopolitical clout. Yet, India is also shaped by seemingly unyielding poverty, both rural and urban; by religious and caste-related violence; by Maoist-inspired Naxalite insurgencies; and by separatism in Jammu and Kashmir and in Northeast India."
